ESTACION,MES,avg(VEL)
estacion1,1.0,3.5059530159813543
estacion1,2.0,3.535678972415966
estacion1,3.0,3.442782103186926
estacion1,4.0,3.245272212639869
estacion1,5.0,3.3720682876357375
estacion1,6.0,3.8454275262917066
estacion1,7.0,3.87093433279369
estacion1,8.0,3.5631316578756835
estacion1,9.0,3.4851503458982678
estacion1,10.0,3.0423471333105785
estacion1,11.0,2.8275784102223875
estacion1,12.0,3.490584826698116
estacion2,1.0,1.264381720430108
estacion2,2.0,1.2351156428749082
estacion2,3.0,1.1945278156737873
estacion2,4.0,1.0552479389688718
estacion2,5.0,1.0122658726347111
estacion2,6.0,1.002532963219986
estacion2,7.0,1.0276812852800714
estacion2,8.0,1.0951509115979783
estacion2,9.0,1.0633792333457386
estacion2,10.0,1.1305685967657801
estacion2,11.0,1.142709849587579
estacion2,12.0,1.2235544598834618
estacion3,1.0,1.4320946805802974
estacion3,2.0,1.4500163594721263
estacion3,3.0,1.4484865837696415
estacion3,4.0,1.318745745064274
estacion3,5.0,1.2973902626850318
estacion3,6.0,1.2303338528422605
estacion3,7.0,1.2019999134236545
estacion3,8.0,1.1956083007940939
estacion3,9.0,1.2432890222984454
estacion3,10.0,1.304602856131238
estacion3,11.0,1.3353306674869132
estacion3,12.0,1.3625213322323024
estacion4,1.0,3.296822491674938
estacion4,2.0,3.3783480710759477
estacion4,3.0,2.8552563878412593
estacion4,4.0,2.6425692394836497
estacion4,5.0,3.4650568274334796
estacion4,6.0,4.746484941056698
estacion4,7.0,4.807825628521529
estacion4,8.0,4.146601590744801
estacion4,9.0,4.0063776034781995
estacion4,10.0,2.8771072824670916
estacion4,11.0,2.788539299656271
estacion4,12.0,3.6475354683914065
